rank,feature_id,coef,abs_coef,mean_act_correct,mean_act_incorrect,pct_active_correct,pct_active_incorrect,delta_mean_act
1,11178,0.420309,0.420309,4.4702,4.5431,1.0,0.9694,-0.0729
2,10099,-0.345468,0.345468,0.0831,0.1716,0.0245,0.051,-0.0885
3,3065,-0.338355,0.338355,0.1034,0.3995,0.0294,0.1173,-0.2961
4,10775,0.338299,0.338299,0.0804,0.0,0.0245,0.0,0.0804
5,14806,0.334094,0.334094,0.5855,0.1371,0.1716,0.0408,0.4484
6,11953,-0.331891,0.331891,0.0,0.0865,0.0,0.0255,-0.0865
7,3274,-0.295983,0.295983,6.0733,6.3535,1.0,1.0,-0.2802
8,14906,0.286358,0.286358,0.1181,0.0,0.0294,0.0,0.1181
9,3830,0.283375,0.283375,0.744,0.3542,0.2206,0.1071,0.3898
10,9562,0.276796,0.276796,2.4149,2.0168,0.6961,0.5816,0.3981
11,13671,-0.271352,0.271352,0.382,0.5131,0.1127,0.148,-0.1311
12,8415,-0.270802,0.270802,0.0159,0.0845,0.0049,0.0255,-0.0686
13,694,-0.269869,0.269869,6.0464,6.0796,1.0,0.9949,-0.0332
14,15497,-0.268683,0.268683,0.0,0.1387,0.0,0.0408,-0.1387
15,15848,0.266669,0.266669,4.227,4.0251,0.9951,0.9796,0.2019
16,5960,0.265717,0.265717,1.59,0.912,0.451,0.2653,0.678
17,5549,0.264124,0.264124,20.3399,20.2906,1.0,1.0,0.0493
18,9982,0.263106,0.263106,3.8427,3.5897,0.9853,0.9235,0.253
19,1720,-0.257467,0.257467,2.2496,2.7475,0.6176,0.7398,-0.4979
20,9116,-0.256804,0.256804,0.0,0.0517,0.0,0.0153,-0.0517
