rank,feature_id,coef,abs_coef,mean_act_correct,mean_act_incorrect,pct_active_correct,pct_active_incorrect,delta_mean_act
1,13099,-0.536748,0.536748,0.7596,1.8126,0.2188,0.5326,-1.053
2,3072,0.532681,0.532681,3.2542,2.6901,0.9688,0.8152,0.5641
3,13562,0.475739,0.475739,1.3904,1.2074,0.4062,0.2962,0.183
4,6578,-0.473003,0.473003,0.0,0.1381,0.0,0.0435,-0.1381
5,151,0.437272,0.437272,0.5139,0.151,0.1562,0.0462,0.3629
6,4766,0.409349,0.409349,0.4715,0.4478,0.1562,0.1467,0.0237
7,2846,0.386206,0.386206,0.2959,0.0445,0.0938,0.0136,0.2514
8,11607,0.37175,0.37175,0.5112,0.16,0.1562,0.0489,0.3512
9,10601,0.368702,0.368702,0.3004,0.1251,0.0938,0.038,0.1753
10,10751,0.358378,0.358378,3.2492,2.1383,0.9062,0.5978,1.1109
11,7156,-0.353964,0.353964,1.5512,1.8215,0.4688,0.5543,-0.2703
12,15988,0.349336,0.349336,2.0579,1.0922,0.5938,0.3207,0.9657
13,2494,-0.336253,0.336253,1.6145,2.1918,0.4688,0.6332,-0.5773
14,11857,0.327579,0.327579,2.3866,1.6578,0.6875,0.481,0.7288
15,11550,0.319458,0.319458,3.7794,3.4521,1.0,0.9375,0.3273
16,3212,0.295455,0.295455,1.0487,1.5756,0.3125,0.4592,-0.5269
17,6908,0.293345,0.293345,5.9828,5.758,0.9688,0.9293,0.2248
18,9241,-0.290498,0.290498,0.0,0.1894,0.0,0.0598,-0.1894
19,11039,0.28862,0.28862,3.3708,2.9316,0.9688,0.8478,0.4392
20,13973,-0.283212,0.283212,2.1892,2.3749,0.6562,0.712,-0.1857
