rank,feature_id,coef,abs_coef,mean_act_correct,mean_act_incorrect,pct_active_correct,pct_active_incorrect,delta_mean_act
1,503,0.487876,0.487876,0.9457,0.2783,0.2812,0.0815,0.6674
2,4035,0.450485,0.450485,0.4086,0.0916,0.125,0.0272,0.317
3,2595,0.448941,0.448941,2.7862,1.7077,0.75,0.481,1.0785
4,391,-0.434219,0.434219,0.1191,0.4262,0.0312,0.1223,-0.3071
5,2424,-0.413898,0.413898,0.1612,1.81,0.0312,0.3696,-1.6488
6,7389,-0.389584,0.389584,0.1045,0.613,0.0312,0.1875,-0.5085
7,9737,0.354348,0.354348,0.294,0.0174,0.0938,0.0054,0.2766
8,2546,-0.328437,0.328437,0.0,0.1337,0.0,0.0408,-0.1337
9,13929,-0.318554,0.318554,4.0634,4.1722,0.9062,0.9565,-0.1088
10,5592,-0.307977,0.307977,9.8849,10.5372,1.0,1.0,-0.6523
11,12016,-0.294305,0.294305,1.8898,1.2267,0.5312,0.3424,0.6631
12,5080,-0.29302,0.29302,0.4058,1.2005,0.125,0.3424,-0.7947
13,2009,-0.289299,0.289299,8.2305,8.5084,1.0,0.9973,-0.2779
14,6296,-0.285336,0.285336,0.2018,0.1176,0.0625,0.0353,0.0842
15,13099,-0.278467,0.278467,0.4317,1.3647,0.125,0.3614,-0.933
16,10957,0.277398,0.277398,7.1288,7.042,1.0,1.0,0.0868
17,907,0.268917,0.268917,4.0058,3.5439,0.9375,0.856,0.4619
18,7695,-0.267958,0.267958,3.0107,3.683,0.7812,0.9103,-0.6723
19,2942,0.263416,0.263416,3.282,2.2937,0.8125,0.5788,0.9883
20,14798,-0.262995,0.262995,0.0,0.4779,0.0,0.1359,-0.4779
