rank,feature_id,coef,abs_coef,mean_act_cot,mean_act_nocot,pct_active_cot,pct_active_nocot,delta_mean_act
1,5206,-0.087549,0.087549,0.0,21.4617,0.0,0.957,-21.4617
2,12440,-0.076489,0.076489,0.4745,1.174,0.0753,0.043,-0.6995
3,11092,0.066992,0.066992,22.6807,0.0,0.6989,0.0,22.6807
4,4063,0.066076,0.066076,20.0433,10.8362,1.0,1.0,9.2071
5,14348,-0.06139,0.06139,1.4885,39.2996,0.1022,1.0,-37.8111
6,10967,0.057896,0.057896,8.375,5.1154,0.9247,0.9839,3.2596
7,6163,-0.056037,0.056037,0.742,21.7957,0.1022,1.0,-21.0537
8,12342,0.054692,0.054692,12.5454,6.567,0.9624,0.957,5.9784
9,2291,0.054628,0.054628,23.3082,28.9246,1.0,1.0,-5.6164
10,5355,-0.046412,0.046412,0.0208,12.134,0.0054,0.957,-12.1132
11,327,0.039935,0.039935,0.3581,0.0,0.0215,0.0,0.3581
12,2614,-0.039485,0.039485,0.0698,4.017,0.0215,1.0,-3.9472
13,16064,0.037838,0.037838,1.169,2.4243,0.1774,0.6935,-1.2553
14,12156,0.036819,0.036819,8.8031,0.2111,0.7527,0.043,8.592
15,2424,0.036575,0.036575,5.7185,1.3396,0.9785,0.3172,4.3789
16,3968,0.035664,0.035664,1.061,0.0,0.0914,0.0,1.061
17,2723,-0.035366,0.035366,0.0,5.0794,0.0,1.0,-5.0794
18,11593,-0.035195,0.035195,0.0631,5.0703,0.0161,1.0,-5.0072
19,15563,0.035171,0.035171,2.3713,1.0725,0.1022,0.1559,1.2988
20,8150,-0.034991,0.034991,0.0,5.1313,0.0,1.0,-5.1313
